"Winning_team","Losing_team","Winning","Losing"
"Memphis Grizzlies","Portland Trail Blazers",111,106
"Los Angeles Lakers","New Orleans Pelicans",120,117
"Orlando Magic","Golden State Warriors",130,129
"Denver Nuggets","Oklahoma City Thunder",122,110
"Cleveland Cavaliers","Detroit Pistons",112,88
"Indiana Pacers","Miami Heat",101,99
"New York Knicks","Philadelphia 76ers",106,104
"Brooklyn Nets","Washington Wizards",128,86
"Boston Celtics","Chicago Bulls",123,119
"Memphis Grizzlies","Charlotte Hornets",130,99
"Los Angeles Clippers","San Antonio Spurs",113,106
"Dallas Mavericks","Toronto Raptors",111,110
"New Orleans Pelicans","Golden State Warriors",114,105
"Milwaukee Bucks","Minnesota Timberwolves",115,102
"Portland Trail Blazers","Phoenix Suns",108,106
"Utah Jazz","Los Angeles Lakers",130,116
"Sacramento Kings","Orlando Magic",126,123
"Brooklyn Nets","Charlotte Hornets",98,94
"Atlanta Hawks","New Orleans Pelicans",124,121
"Boston Celtics","New York Knicks",133,118
"Milwaukee Bucks","Oklahoma City Thunder",108,94
"Minnesota Timberwolves","Houston Rockets",129,117
"Denver Nuggets","San Antonio Spurs",126,101
"Phoenix Suns","Portland Trail Blazers",102,82
"Cleveland Cavaliers","Los Angeles Lakers",114,100
"Memphis Grizzlies","Washington Wizards",103,97
"Toronto Raptors","Chicago Bulls",113,104
"Utah Jazz","Los Angeles Clippers",110,102
"Washington Wizards","Charlotte Hornets",108,100
"Houston Rockets","Orlando Magic",134,127
"Detroit Pistons","Oklahoma City Thunder",112,103
"Indiana Pacers","New Orleans Pelicans",129,122
"Philadelphia 76ers","Phoenix Suns",100,88
"Atlanta Hawks","Milwaukee Bucks",117,98
"Portland Trail Blazers","Miami Heat",110,107
"Chicago Bulls","Toronto Raptors",111,97
"Boston Celtics","Memphis Grizzlies",109,106
"New York Knicks","Minnesota Timberwolves",120,107
"Denver Nuggets","San Antonio Spurs",115,109
"Dallas Mavericks","Brooklyn Nets",96,94
"Golden State Warriors","Sacramento Kings",116,113
"Utah Jazz","Los Angeles Lakers",139,116
"Los Angeles Clippers","Cleveland Cavaliers",119,117
