"Month","Arrivals"
1997-08-01,645090
1997-07-01,692050
1997-06-01,607848
1997-05-01,NA
1997-04-01,595444
1997-03-01,657483
1997-02-01,634403
1997-01-01,612265
1996-12-01,NA
1996-11-01,599164
1996-10-01,600917
1996-09-01,548876
1996-08-01,655073
1996-07-01,651103
1996-06-01,586963
1996-05-01,551828
1996-04-01,584109
1996-03-01,641447
1996-02-01,NA
1996-01-01,599742
1995-12-01,625206
1995-11-01,589339
1995-10-01,588420
1995-09-01,583492
1995-08-01,688445
1995-07-01,676075
1995-06-01,549326
1995-05-01,535270
1995-04-01,548881
1995-03-01,619688
1995-02-01,556744
1995-01-01,NA
1994-12-01,621277
1994-11-01,569103
1994-10-01,564144
1994-09-01,551510
1994-08-01,664329
1994-07-01,642768
1994-06-01,531476
1994-05-01,509545
1994-04-01,540643
1994-03-01,626918
1994-02-01,527574
1994-01-01,549022
1993-12-01,593419
1993-11-01,537176
1993-10-01,NA
1993-09-01,504648
1993-08-01,608843
1993-07-01,583347
1993-06-01,524277
1993-05-01,491664
1993-04-01,501180
1993-03-01,547795
1993-02-01,NA
1993-01-01,514013
1992-12-01,547027
1992-11-01,498866
1992-10-01,488746
1992-09-01,486642
1992-08-01,547776
1992-07-01,NA
1992-06-01,472933
1992-05-01,449648
1992-04-01,485536
1992-03-01,478996
1992-02-01,500155
1992-01-01,485463
1991-12-01,519200
1991-11-01,473327
1991-10-01,472918
1991-09-01,459836
1991-08-01,519640
1991-07-01,494626
1991-06-01,445771
1991-05-01,411284
1991-04-01,418722
1991-03-01,403287
1991-02-01,363536
1991-01-01,432267
1990-12-01,488768
1990-11-01,448573
1990-10-01,435281
1990-09-01,427523
1990-08-01,492544
1990-07-01,474861
1990-06-01,409635
1990-05-01,409797
1990-04-01,NA
1990-03-01,445528
1990-02-01,424670
1990-01-01,432993
1989-12-01,450000
1989-11-01,425918
1989-10-01,423336
1989-09-01,406340
1989-08-01,443375
1989-07-01,NA
1989-06-01,367275
1989-05-01,362982
1989-04-01,375679
1989-03-01,NA
1989-02-01,353789
1989-01-01,NA
1988-12-01,393771
1988-11-01,361734
1988-10-01,365581
1988-09-01,341254
1988-08-01,388077
1988-07-01,377985
1988-06-01,319362
1988-05-01,NA
1988-04-01,331647
1988-03-01,347373
1988-02-01,312406
1988-01-01,NA
1987-12-01,342250
1987-11-01,307067
1987-10-01,315112
1987-09-01,302983
1987-08-01,353788
1987-07-01,342882
1987-06-01,283828
1987-05-01,291469
1987-04-01,NA
1987-03-01,293774
1987-02-01,273405
1987-01-01,284588
1986-12-01,297217
1986-11-01,266980
1986-10-01,275773
1986-09-01,259582
1986-08-01,304666
1986-07-01,275976
1986-06-01,257252
1986-05-01,248171
1986-04-01,245614
1986-03-01,260497
1986-02-01,236979
1986-01-01,262351
1985-12-01,277383
1985-11-01,250465
1985-10-01,249802
1985-09-01,240007
1985-08-01,279252
1985-07-01,264253
1985-06-01,247225
1985-05-01,244179
1985-04-01,NA
1985-03-01,262117
1985-02-01,230830
1985-01-01,248446
1984-12-01,272668
1984-11-01,248137
1984-10-01,257737
1984-09-01,239438
1984-08-01,282186
1984-07-01,261402
1984-06-01,240184
1984-05-01,248953
1984-04-01,245480
1984-03-01,239414
1984-02-01,221968
1984-01-01,NA
1983-12-01,254939
1983-11-01,237223
1983-10-01,240012
1983-09-01,230076
1983-08-01,263236
1983-07-01,249891
1983-06-01,227843
1983-05-01,236720
1983-04-01,226610
1983-03-01,NA
1983-02-01,212591
1983-01-01,232164
1982-12-01,254632
1982-11-01,257389
1982-10-01,251613
1982-09-01,232006
1982-08-01,281354
1982-07-01,277968
1982-06-01,243955
1982-05-01,232737
1982-04-01,225827
1982-03-01,235113
1982-02-01,225008
1982-01-01,239088
1981-12-01,263249
1981-11-01,245404
1981-10-01,240681
1981-09-01,207056
1981-08-01,275950
1981-07-01,255314
1981-06-01,225874
1981-05-01,220442
1981-04-01,226025
1981-03-01,225654
1981-02-01,215701
1981-01-01,227549
1980-12-01,248113
1980-11-01,224756
1980-10-01,220704
1980-09-01,199252
1980-08-01,247926
1980-07-01,227464
1980-06-01,195567
1980-05-01,204398
1980-04-01,198860
1980-03-01,NA
1980-02-01,189235
1980-01-01,201100
1979-12-01,209538
1979-11-01,198778
1979-10-01,194919
1979-09-01,179596
1979-08-01,214021
1979-07-01,NA
1979-06-01,177746
1979-05-01,175055
1979-04-01,179714
1979-03-01,176654
1979-02-01,NA
1979-01-01,179788
1978-12-01,189687
1978-11-01,181463
1978-10-01,177639
1978-09-01,167980
1978-08-01,201355
1978-07-01,175968
1978-06-01,149896
1978-05-01,162667
1978-04-01,162400
1978-03-01,163199
1978-02-01,147954
1978-01-01,167016
